Kategorija,Juridinis_kodas,Pavadinimas
Mokyklos-darželiai,191635156,Kauno mokykla-darželis Rūtelė
Mokyklos-darželiai,191634816,Kauno mokykla-darželis Šviesa
Mokyklos-darželiai,191094715,Kauno Tirkiliškių mokykla-darželis
Mokyklos-darželiai,290140580,Kauno Motiejaus Valančiaus mokykla-darželis
Mokyklos-darželiai,191846114,Kauno Montesori mokykla-darželis Žiburėlis
Pradinės mokyklos,191642688,Kauno Prano Mašioto pradinė mokykla
Pradinės mokyklos,190140622,Kauno Paparčio pradinė mokykla
Pradinės mokyklos,191828963,Kauno Ryto pradinė mokykla
Pradinės mokyklos,191829150,Kauno Šilo pradinė mokykla
Pradinės mokyklos,195096037,Kauno Varpelio pradinė mokykla
Progimnazijos,290136920,Vytauto Didžiojo universiteto Atžalyno progimnazija
Progimnazijos,190136734,Kauno Simono Daukanto progimnazija
Progimnazijos,190135785,Kauno Jurgio Dobkevičiaus progimnazija
Progimnazijos,190138938,Kauno Kazio Griniaus progimnazija
Progimnazijos,190139278,Kauno Tado Ivanausko progimnazija
Progimnazijos,190138219,Kauno šv. Kazimiero progimnazija
Progimnazijos,190134345,Kauno Vinco Kudirkos progimnazija
Progimnazijos,190137455,Kauno Viktoro Kuprevičiaus progimnazija
Progimnazijos,190138176,Kauno Martyno Mažvydo progimnazija
Progimnazijos,190139997,Kauno Milikonių progimnazija
Progimnazijos,190140775,Kauno Panemunės progimnazija
Progimnazijos,191824947,Kauno Petrašiūnų progimnazija
Progimnazijos,190138742,Kauno Pilėnų progimnazija
Progimnazijos,191816085,Kauno Senamiesčio progimnazija
Progimnazijos,191824228,Kauno Suzuki progimnazija
Progimnazijos,190137074,Kauno Juozo Urbšio progimnazija
Progimnazijos,190134498,Kauno technologijos universiteto Vaižganto progimnazija
Progimnazijos,190135970,Kauno Žaliakalnio progimnazija
Daugiafunkciai centrai,190138361,Kauno Bernardo Brazdžionio mokykla
Daugiafunkciai centrai,190136168,Kauno Nemuno mokykla
Daugiafunkciai centrai,190138023,Kauno Aleksandro Stulginskio mokykla
Daugiafunkciai centrai,191090994,Kauno Vaišvydavos mokykla
Daugiafunkciai centrai,190136549,Kauno Jono ir Petro Vileišių mokykla
Daugiafunkciai centrai,190134530,Vytauto Didžiojo universiteto klasikinio ugdymo licėjus
Suaugusiųjų mokyklos,295093070,Kauno suaugusiųjų ir jaunimo mokymo centras
Gimnazijos,190133777,Kauno Aušros gimnazija
Gimnazijos,190139463,Kauno Jono Basanavičiaus gimnazija
Gimnazijos,290134150,Kauno Stepono Dariaus ir Stasio Girėno gimnazija
Gimnazijos,190133962,Kauno Gedimino sporto ir sveikatinimo gimnazija
Gimnazijos,190139659,Kauno Juozo Grušo meno gimnazija
Gimnazijos,191825091,Kauno Jono Jablonskio gimnazija
Gimnazijos,190136353,Kauno technologijos universiteto inžinerijos licėjus
Gimnazijos,190136691,Kauno Kovo 11-osios gimnazija
Gimnazijos,290133810,Kauno Maironio universitetinė gimnazija
Gimnazijos,190137989,Kauno Palemono gimnazija
Gimnazijos,190135447,Prezidento Valdo Adamkaus gimnazija
Gimnazijos,300594100,Kauno tarptautinė gimnazija
Gimnazijos,190138557,Vytauto Didžiojo universiteto Rasos gimnazija
Gimnazijos,191090841,Prezidento Antano Smetonos gimnazija
Gimnazijos,190139844,Kauno Santaros gimnazija
Gimnazijos,190134683,Kauno Saulės gimnazija
Gimnazijos,190138895,Kauno Varpo gimnazija
Gimnazijos,190135828,Kauno Veršvų gimnazija
Gimnazijos,190136887,Kauno Vyturio gimnazija
Specialiosios mokyklos ir ugdymo centrai,190983430,Kauno Prano Daunio ugdymo centras
Specialiosios mokyklos ir ugdymo centrai,290983050,Kauno Jono Laužiko mokykla
Specialiosios mokyklos ir ugdymo centrai,190797479,Kauno šv. Roko mokykla
