Kategorija,Juridinis_kodas,Padalinio_pavadinimas,Istaigos_tipas,Savivaldybe,Adresas,Padalinio_ID,Tikslinis_kodas,Tikslinis_pavadinimas,Saltinio_data
Mokyklos-darželiai,191635156,"Kauno mokykla-darþelis ""Rûtelë""",Pradinë mokykla,Kaunas,"Kaunas, Kalnieèiø g. 167",88691960016,191635156,Kauno mokykla-darželis Rūtelė,2026-09-02
Mokyklos-darželiai,191634816,"Kauno mokykla-darþelis ""Ðviesa""",Pradinë mokykla,Kaunas,"Kaunas, Rimvydo g. 20",88691960036,191634816,Kauno mokykla-darželis Šviesa,2026-09-02
Mokyklos-darželiai,191094715,Kauno Tirkiliðkiø mokykla-darþelis,Ikimokyklinio ugdymo mokykla ; Pradinë mokykla,Kaunas,"Kaunas, M. Yèo g. 2",88691960071,191094715,Kauno Tirkiliškių mokykla-darželis,2026-09-02
Mokyklos-darželiai,290140580,Kauno Motiejaus Valanèiaus mokykla-darþelis,Pradinë mokykla ; Ikimokyklinio ugdymo mokykla,Kaunas,"Kaunas, Kranto 5-oji g. 7",88691960031,290140580,Kauno Motiejaus Valančiaus mokykla-darželis,2026-09-02
Mokyklos-darželiai,191846114,"Kauno Montesori mokykla-darþelis ""Þiburëlis""",Pradinë mokykla,Kaunas,"Kaunas, Verkiø g. 36",88691960011,191846114,Kauno Montesori mokykla-darželis Žiburėlis,2026-09-02
Pradinės mokyklos,191642688,Kauno Prano Maðioto pradinë mokykla,Pradinë mokykla,Kaunas,"Kaunas, Rasytës g. 1",88691960163,191642688,Kauno Prano Mašioto pradinė mokykla,2026-09-02
Pradinės mokyklos,190140622,"Kauno ""Paparèio"" pradinë mokykla",Pradinë mokykla,Kaunas,"Kaunas, Ðiaurës pr. 35",88691960032,190140622,Kauno Paparčio pradinė mokykla,2026-09-02
Pradinės mokyklos,191828963,"Kauno ""Ryto"" pradinë mokykla",Pradinë mokykla ; Ikimokyklinio ugdymo mokykla,Kaunas,"Kaunas, Ðarkuvos g. 29",88691960094,191828963,Kauno Ryto pradinė mokykla,2026-09-02
Pradinės mokyklos,191829150,"Kauno ""Ðilo"" pradinë mokykla",Pradinë mokykla,Kaunas,"Kaunas, Kariûnø pl. 3",88691960095,191829150,Kauno Šilo pradinė mokykla,2026-09-02
Pradinės mokyklos,195096037,"Kauno ""Varpelio"" pradinë mokykla",Pradinë mokykla,Kaunas,"Kaunas, Vakarø g. 15",88691960203,195096037,Kauno Varpelio pradinė mokykla,2026-09-02
Progimnazijos,290136920,"Vytauto Didþiojo universiteto ""Atþalyno"" progimnazija",Progimnazija ; Pradinë mokykla,Kaunas,"Kaunas, Partizanø g. 46",88691960142,290136920,Vytauto Didžiojo universiteto Atžalyno progimnazija,2026-09-02
Progimnazijos,190136734,Kauno Simono Daukanto progimnazija,Progimnazija ; Pradinë mokykla,Kaunas,"Kaunas, Taikos pr. 68",88691960140,190136734,Kauno Simono Daukanto progimnazija,2026-09-02
Progimnazijos,190135785,Kauno Jurgio Dobkevièiaus progimnazija,Progimnazija ; Pradinë mokykla,Kaunas,"Kaunas, V. Èepinskio g. 7",88691960178,190135785,Kauno Jurgio Dobkevičiaus progimnazija,2026-09-02
Progimnazijos,190138938,Kauno Kazio Griniaus progimnazija,Progimnazija ; Pradinë mokykla,Kaunas,"Kaunas, Ðiaurës pr. 97",88691960155,190138938,Kauno Kazio Griniaus progimnazija,2026-09-02
Progimnazijos,190139278,Kauno Tado Ivanausko progimnazija,Progimnazija ; Pradinë mokykla,Kaunas,"Kaunas, Vëtrungës g. 1",88691960130,190139278,Kauno Tado Ivanausko progimnazija,2026-09-02
Progimnazijos,190138219,Kauno ðv. Kazimiero progimnazija,Progimnazija,Kaunas,"Kaunas, Vandþiogalos pl. 51",88691960151,190138219,Kauno šv. Kazimiero progimnazija,2026-09-02
Progimnazijos,190134345,Kauno Vinco Kudirkos progimnazija,Progimnazija,Kaunas,"Kaunas, Trakø g. 39",88691960186,190134345,Kauno Vinco Kudirkos progimnazija,2026-09-02
Progimnazijos,190137455,Kauno Viktoro Kuprevièiaus progimnazija,Progimnazija ; Pradinë mokykla,Kaunas,"Kaunas, Kovo 11-osios g. 94",88691960145,190137455,Kauno Viktoro Kuprevičiaus progimnazija,2026-09-02
Progimnazijos,190138176,Kauno Martyno Maþvydo progimnazija,Progimnazija ; Pradinë mokykla,Kaunas,"Kaunas, Ðiaurës pr. 55",88691960149,190138176,Kauno Martyno Mažvydo progimnazija,2026-09-02
Progimnazijos,190139997,Kauno Milikoniø progimnazija,Progimnazija ; Pradinë mokykla,Kaunas,"Kaunas, Baltijos g. 30",88691960161,190139997,Kauno Milikonių progimnazija,2026-09-02
Progimnazijos,190140775,Kauno Panemunës pradinë mokykla,Pradinë mokykla,Kaunas,"Kaunas, Kariûnø pl. 5",88691960173,190140775,Kauno Panemunės progimnazija,2026-09-02
Progimnazijos,191824947,Kauno Petraðiûnø progimnazija,Progimnazija,Kaunas,"Kaunas, M. Gimbutienës g. 9",88691960093,191824947,Kauno Petrašiūnų progimnazija,2026-09-02
Progimnazijos,190138742,Kauno Pilënø progimnazija,Pradinë mokykla ; Progimnazija,Kaunas,"Kaunas, Ðiaurës pr. 73",88691960131,190138742,Kauno Pilėnų progimnazija,2026-09-02
Progimnazijos,191816085,Kauno Senamiesèio progimnazija,Progimnazija,Kaunas,"Kaunas, Nemuno g. 12",88691960207,191816085,Kauno Senamiesčio progimnazija,2026-09-02
Progimnazijos,191824228,Kauno Suzuki progimnazija,Pradinë mokykla ; Progimnazija,Kaunas,"Kaunas, Ðiaurës pr. 23",88691960042,191824228,Kauno Suzuki progimnazija,2026-09-02
Progimnazijos,190137074,Kauno Juozo Urbðio progimnazija,Progimnazija,Kaunas,"Kaunas, Partizanø g. 68",88691960166,190137074,Kauno Juozo Urbšio progimnazija,2026-09-02
Progimnazijos,190134498,Kauno technologijos universiteto Vaiþganto progimnazija,Pradinë mokykla ; Progimnazija,Kaunas,"Kaunas, Skuodo g. 27",88691960185,190134498,Kauno technologijos universiteto Vaižganto progimnazija,2026-09-02
Progimnazijos,190135970,Kauno Þaliakalnio progimnazija,Progimnazija,Kaunas,"Kaunas, Ðirvintø g. 15",88691960176,190135970,Kauno Žaliakalnio progimnazija,2026-09-02
Daugiafunkciai centrai,190138361,Kauno Bernardo Brazdþionio mokykla,Ikimokyklinio ugdymo mokykla ; Pradinë mokykla ; Pagrindinë mokykla,Kaunas,"Kaunas, Partizanø g. 22",88691960152,190138361,Kauno Bernardo Brazdžionio mokykla,2026-09-02
