Nr,Kategorija,Juridinis_kodas,Mokykla,Istaigos_tipas,Savivaldybe,Adresas,Tikrinti,Istaigos_statusas,Aptikimo_saltinis,Aptikimo_data,Pastabos
1,Mokyklos-darželiai,191635156,Kauno mokykla-darželis Rūtelė,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
2,Mokyklos-darželiai,191634816,Kauno mokykla-darželis Šviesa,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
3,Mokyklos-darželiai,191094715,Kauno Tirkiliškių mokykla-darželis,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
4,Mokyklos-darželiai,290140580,Kauno Motiejaus Valančiaus mokykla-darželis,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
5,Mokyklos-darželiai,191846114,Kauno Montesori mokykla-darželis Žiburėlis,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
6,Pradinės mokyklos,191642688,Kauno Prano Mašioto pradinė mokykla,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
7,Pradinės mokyklos,190140622,Kauno Paparčio pradinė mokykla,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
8,Pradinės mokyklos,191828963,Kauno Ryto pradinė mokykla,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
9,Pradinės mokyklos,191829150,Kauno Šilo pradinė mokykla,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
10,Pradinės mokyklos,195096037,Kauno Varpelio pradinė mokykla,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
11,Progimnazijos,290136920,Vytauto Didžiojo universiteto Atžalyno progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
12,Progimnazijos,190136734,Kauno Simono Daukanto progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
13,Progimnazijos,190135785,Kauno Jurgio Dobkevičiaus progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
14,Progimnazijos,190138938,Kauno Kazio Griniaus progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
15,Progimnazijos,190139278,Kauno Tado Ivanausko progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
16,Progimnazijos,190138219,Kauno šv. Kazimiero progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
17,Progimnazijos,190134345,Kauno Vinco Kudirkos progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
18,Progimnazijos,190137455,Kauno Viktoro Kuprevičiaus progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
19,Progimnazijos,190138176,Kauno Martyno Mažvydo progimnazija,progimnazija,Kaunas,"A. Mickevičiaus g. 54, Kaunas",TAIP,Aktyvi,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,
20,Progimnazijos,190139997,Kauno Milikonių progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
21,Progimnazijos,190140775,Kauno Panemunės progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
22,Progimnazijos,191824947,Kauno Petrašiūnų progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
23,Progimnazijos,190138742,Kauno Pilėnų progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
24,Progimnazijos,191816085,Kauno Senamiesčio progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
25,Progimnazijos,191824228,Kauno Suzuki progimnazija,,Kaunas,,NE,Nerasta,VDA Švietimo ir mokslo institucijų duomenys,2026-09-02,Šaltinyje nerasta
